STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,tree_can,imp_surf,tract,cells,developed,forest,percent_dev,percent_for
51,001,090200,51001090200,902,Census Tract 902,34.599057266071604,1.7472269581787185,1,249275,20940,25508,8.400361047036405,10.232875338481596
51,001,980200,51001980200,9802,Census Tract 9802,3.478486796160174,2.5053205970431915,2,84483,6373,1094,7.543529467466828,1.294935075695702
51,001,980100,51001980100,9801,Census Tract 9801,10.72295718839944,0.5812284619058069,3,77479,1394,2725,1.7991972018224291,3.5170820480388234
51,001,090400,51001090400,904,Census Tract 904,19.421422100561212,1.4152767374278896,4,254989,15333,26307,6.013200569436329,10.3169156316547
51,131,990100,51131990100,9901,Census Tract 9901,0.41467696913305624,0.23383389295683518,5,1235950,873,1,0.07063392532060359,8.09094219021805e-5
51,131,930300,51131930300,9303,Census Tract 9303,5.315766772102896,1.0353801234267526,6,542508,18434,17867,3.397922242621307,3.2934076548179934
51,131,930200,51131930200,9302,Census Tract 9302,22.37836740380979,1.2126316208523258,7,251195,14559,33024,5.79589561894146,13.146758494396785
51,001,090300,51001090300,903,Census Tract 903,24.706328251426626,0.6881866961928285,8,211338,7713,4609,3.649603951963206,2.180866668559369
51,001,090800,51001090800,908,Census Tract 908,14.988200245507825,0.6738249375550045,9,351109,11250,15804,3.2041331894084175,4.501166304480945
51,001,990200,51001990200,9902,Census Tract 9902,0,0,10,1095675,0,0,0,0
51,001,090600,51001090600,906,Census Tract 906,9.020728267531107,0.41890889087431943,11,541724,11848,7161,2.1870915816910457,1.3218908521682626
51,001,990100,51001990100,9901,Census Tract 9901,0.03810268418858664,0.004521992366016288,12,520567,1,11,1.9209823135158392e-4,0.0021130805448674236
51,001,090500,51001090500,905,Census Tract 905,21.39592933947772,1.6305086192182963,13,117180,7779,4960,6.638504864311316,4.232804232804233
51,001,090700,51001090700,907,Census Tract 907,33.10191029573698,1.788377969167846,14,203424,18032,25804,8.86424414031776,12.684835614283468
51,131,930100,51131930100,9301,Census Tract 9301,16.271951577516163,1.169355087914463,15,258888,13351,18348,5.157056333240629,7.087234634282007
51,001,090100,51001090100,901,Census Tract 901,4.250462313480423,4.579342558347149,16,62728,7966,346,12.699273051906646,0.5515878076775922
